博物馆博物编号,文物详细信息,文物名称,时间,朝代,出处,详情页地址,图片url
1957,陈洪绶（中国，1598/99-1652）绢本册页、墨、色；总尺寸：30.2 x 26.7 厘米（11 7/8 x 10 1/2 英寸）。,仿古·倪瓒笔意山水,1598–1652,亚洲 - 相册叶,"weng tonghe 翁同龢 [1830-1904], by descent to wango h. c. weng; (wango h. c. weng 翁万戈 [1918-2020], lyme, nh, 出售给克利夫兰艺术博物馆) (? -1979);克利夫兰艺术博物馆, cleveland, oh (1979-)",https://clevelandart.org/art/1979.27.1.10,https://openaccess-cdn.clevelandart.org/1979.27.1.10/1979.27.1.10_web.jpg
1958,陈洪绶（中国，1598/99-1652）绢本册页、墨和彩色；总尺寸： 30.2 x 26.7 厘米（11.7/8 x 10.5 英寸）。,仿古·书法,1598–1652,亚洲 - 相册叶,"weng tonghe 翁同龢 [1830-1904], by descent to wango h. c. weng; (wango h. c. weng 翁万戈 [1918-2020], lyme, nh, 出售给克利夫兰艺术博物馆) (? -1979);克利夫兰艺术博物馆, cleveland, oh (1979-)",https://clevelandart.org/art/1979.27.1.11,https://openaccess-cdn.clevelandart.org/1979.27.1.11/1979.27.1.11_web.jpg
1959,陈洪绶（中国，1598/99-1652）绢本册页、墨和彩色；总尺寸： 30.2 x 26.7 厘米（11.7/8 x 10.5 英寸）。, 仿古·《老子骑牛》,1598–1652,亚洲 - 相册叶,"weng tonghe 翁同龢 [1830-1904], by descent to wango h. c. weng; (wango h. c. weng 翁万戈 [1918-2020], lyme, nh, 出售给克利夫兰艺术博物馆) (? -1979);克利夫兰艺术博物馆, cleveland, oh (1979-)",https://clevelandart.org/art/1979.27.1.2,https://openaccess-cdn.clevelandart.org/1979.27.1.2/1979.27.1.2_web.jpg
1960,陈洪绶（中国，1598/99-1652）.册页；绢本墨彩；总尺寸：30.2 x 26.7 厘米（11 7/8 x 10 1/2 英寸）.克利夫兰艺术博物馆，John L. Severance 基金 1979.27.1.3,仿古·《水仙枯木》,1598–1652,亚洲 - 相册叶,"weng tonghe 翁同龢 [1830-1904], by descent to wango h. c. weng; (wango h. c. weng 翁万戈 [1918-2020], lyme, nh, 出售给克利夫兰艺术博物馆) (? -1979);克利夫兰艺术博物馆, cleveland, oh (1979-)",https://clevelandart.org/art/1979.27.1.3,https://openaccess-cdn.clevelandart.org/1979.27.1.3/1979.27.1.3_web.jpg
1961,陈洪绶（中国，1598/99-1652）.册页；绢本墨彩；总尺寸：30.2 x 26.7 厘米（11 7/8 x 10 1/2 英寸）.克利夫兰艺术博物馆，John L. Severance 基金 1979.27.1.4, 仿古·《秋景山水》,1598–1652,亚洲 - 相册叶,"weng tonghe 翁同龢 [1830-1904], by descent to wango h. c. weng; (wango h. c. weng 翁万戈 [1918-2020], lyme, nh, 出售给克利夫兰艺术博物馆) (? -1979);克利夫兰艺术博物馆, cleveland, oh (1979-)",https://clevelandart.org/art/1979.27.1.4,https://openaccess-cdn.clevelandart.org/1979.27.1.4/1979.27.1.4_web.jpg
1962,陈洪绶（中国，1598/99-1652）.册页；绢本墨彩；总尺寸：30.2 x 26.7 厘米（11 7/8 x 10 1/2 英寸）.克利夫兰艺术博物馆，John L. Severance 基金 1979.27.1.5,仿古·《陶渊明像》,1598–1652,亚洲 - 相册叶,"weng tonghe 翁同龢 [1830-1904], by descent to wango h. c. weng; (wango h. c. weng 翁万戈 [1918-2020], lyme, nh, 出售给克利夫兰艺术博物馆) (? -1979);克利夫兰艺术博物馆, cleveland, oh (1979-)",https://clevelandart.org/art/1979.27.1.5,https://openaccess-cdn.clevelandart.org/1979.27.1.5/1979.27.1.5_web.jpg
1963,陈洪绶（中国，1598/99-1652）.册页；绢本墨彩；总尺寸：30.2 x 26.7 厘米（11 7/8 x 10 1/2 英寸）.克利夫兰艺术博物馆，John L. Severance 基金 1979.27.1.6,仿古·《荷石图》,1598–1652,亚洲 - 相册叶,"weng tonghe 翁同龢 [1830-1904], by descent to wango h. c. weng; (wango h. c. weng 翁万戈 [1918-2020], lyme, nh, 出售给克利夫兰艺术博物馆) (? -1979);克利夫兰艺术博物馆, cleveland, oh (1979-)",https://clevelandart.org/art/1979.27.1.6,https://openaccess-cdn.clevelandart.org/1979.27.1.6/1979.27.1.6_web.jpg
1964,陈洪绶（中国，1598/99-1652），册页；绢本水墨设色；总尺寸：30.2 x 26.7 厘米（11 7/8 x 10 1/2 英寸）。,仿古·《道人秋鹤》,1598–1652,亚洲 - 相册叶,"weng tonghe 翁同龢 [1830-1904], by descent to wango h. c. weng; (wango h. c. weng 翁万戈 [1918-2020], lyme, nh, 出售给克利夫兰艺术博物馆) (? -1979);克利夫兰艺术博物馆, cleveland, oh (1979-)",https://clevelandart.org/art/1979.27.1.7,https://openaccess-cdn.clevelandart.org/1979.27.1.7/1979.27.1.7_web.jpg
1965,陈洪绶（中国，1598/99-1652）绢本册页、墨、彩色；总尺寸：30.2 x 26.7 厘米（11 7/8 x 10 1/2 英寸）。,仿古·《仲卿山居像》,1598–1652,亚洲 - 相册叶,"weng tonghe 翁同龢 [1830-1904], by descent to wango h. c. weng; (wango h. c. weng 翁万戈 [1918-2020], lyme, nh, 出售给克利夫兰艺术博物馆) (? -1979);克利夫兰艺术博物馆, cleveland, oh (1979-)",https://clevelandart.org/art/1979.27.1.8,https://openaccess-cdn.clevelandart.org/1979.27.1.8/1979.27.1.8_web.jpg
1966,陈洪绶（中国，1598/99-1652），绢本册页，墨彩；总尺寸：30.2 x 26.7 厘米（11 7/8 x 10 1/2 英寸）。, 仿古·《菊石图》,1598–1652,亚洲 - 相册叶,"weng tonghe 翁同龢 [1830-1904], by descent to wango h. c. weng; (wango h. c. weng 翁万戈 [1918-2020], lyme, nh, 出售给克利夫兰艺术博物馆) (? -1979);克利夫兰艺术博物馆, cleveland, oh (1979-)",https://clevelandart.org/art/1979.27.1.9,https://openaccess-cdn.clevelandart.org/1979.27.1.9/1979.27.1.9_web.jpg
1967,陈洪绶（中国，1598/99-1652）.册页，共 11 叶；绢本水墨或彩色；总尺寸：30.2 x 26.7 厘米（11 7/8 x 10 1/2 英寸）.克利夫兰艺术博物馆，John L. Severance 基金 1979.27.2,《仿古名画册》卷二,1598–1652,亚洲 - 相册叶,"weng tonghe 翁同龢 [1830-1904], by descent to wango h. c. weng; (wango h. c. weng 翁万戈 [1918-2020], lyme, nh, 出售给克利夫兰艺术博物馆) (? -1979);克利夫兰艺术博物馆, cleveland, oh (1979-)",https://clevelandart.org/art/1979.27.2,https://openaccess-cdn.clevelandart.org/1979.27.2/1979.27.2_web.jpg
1968,陈洪绶（中国，1598/99-1652）绢本册页、墨、彩色；总尺寸：30.2 x 26.7 厘米（11 7/8 x 10 1/2 英寸）。,仿古·《五柳先生》,1598–1652,亚洲 - 相册叶,"weng tonghe 翁同龢 [1830-1904], by descent to wango h. c. weng; (wango h. c. weng 翁万戈 [1918-2020], lyme, nh, 出售给克利夫兰艺术博物馆) (? -1979);克利夫兰艺术博物馆, cleveland, oh (1979-)",https://clevelandart.org/art/1979.27.2.12,https://openaccess-cdn.clevelandart.org/1979.27.2.12/1979.27.2.12_web.jpg
1969,陈洪绶（中国，1598/99-1652），绢本册页，墨彩；总尺寸：30.2 x 26.7 厘米（11 7/8 x 10 1/2 英寸）。,仿古·《罗汉像》（学贯休）,1598–1652,亚洲 - 相册叶,"weng tonghe 翁同龢 [1830-1904], by descent to wango h. c. weng; (wango h. c. weng 翁万戈 [1918-2020], lyme, nh, 出售给克利夫兰艺术博物馆) (? -1979);克利夫兰艺术博物馆, cleveland, oh (1979-)",https://clevelandart.org/art/1979.27.2.13,https://openaccess-cdn.clevelandart.org/1979.27.2.13/1979.27.2.13_web.jpg
1970,陈洪绶（中国，1598/99-1652），绢本册页，墨彩；总尺寸：30.2 x 26.7 厘米（11 7/8 x 10 1/2 英寸）。,仿古·《桃枝春禽》,1598–1652,亚洲 - 相册叶,"weng tonghe 翁同龢 [1830-1904], by descent to wango h. c. weng; (wango h. c. weng 翁万戈 [1918-2020], lyme, nh, 出售给克利夫兰艺术博物馆) (? -1979);克利夫兰艺术博物馆, cleveland, oh (1979-)",https://clevelandart.org/art/1979.27.2.14,https://openaccess-cdn.clevelandart.org/1979.27.2.14/1979.27.2.14_web.jpg
1971,陈洪绶（中国，1598/99-1652）绢本册页、墨、色；总尺寸：30.2 x 26.7 厘米（11 7/8 x 10 1/2 英寸）。,仿古·《秋山行旅》,1598–1652,亚洲 - 相册叶,"weng tonghe 翁同龢 [1830-1904], by descent to wango h. c. weng; (wango h. c. weng 翁万戈 [1918-2020], lyme, nh, 出售给克利夫兰艺术博物馆) (? -1979);克利夫兰艺术博物馆, cleveland, oh (1979-)",https://clevelandart.org/art/1979.27.2.15,https://openaccess-cdn.clevelandart.org/1979.27.2.15/1979.27.2.15_web.jpg
1972,陈洪绶（中国，1598/99-1652）绢本册页、墨和彩色；总尺寸： 30.2 x 26.7 厘米（11.7/8 x 10.5 英寸）。,仿古·《仕女图》,1598–1652,亚洲 - 相册叶,"weng tonghe 翁同龢 [1830-1904], by descent to wango h. c. weng; (wango h. c. weng 翁万戈 [1918-2020], lyme, nh, 出售给克利夫兰艺术博物馆) (? -1979);克利夫兰艺术博物馆, cleveland, oh (1979-)",https://clevelandart.org/art/1979.27.2.16,https://openaccess-cdn.clevelandart.org/1979.27.2.16/1979.27.2.16_web.jpg
1973,陈洪绶（中国，1598/99-1652）.册页；绢本墨彩；总尺寸：30.2 x 26.7 厘米（11 7/8 x 10 1/2 英寸）.克利夫兰艺术博物馆，John L. Severance 基金 1979.27.2.17,仿古·《菊图》,1598–1652,亚洲 - 相册叶,"weng tonghe 翁同龢 [1830-1904], by descent to wango h. c. weng; (wango h. c. weng 翁万戈 [1918-2020], lyme, nh, 出售给克利夫兰艺术博物馆) (? -1979);克利夫兰艺术博物馆, cleveland, oh (1979-)",https://clevelandart.org/art/1979.27.2.17,https://openaccess-cdn.clevelandart.org/1979.27.2.17/1979.27.2.17_web.jpg
1974,陈洪绶（中国，1598/99-1652）.册页；绢本墨彩；总尺寸：30.2 x 26.7 厘米（11 7/8 x 10 1/2 英寸）.克利夫兰艺术博物馆，John L. Severance 基金 1979.27.2.18,仿古·《草庐观瀑》,1598–1652,亚洲 - 相册叶,"weng tonghe 翁同龢 [1830-1904], by descent to wango h. c. weng; (wango h. c. weng 翁万戈 [1918-2020], lyme, nh, 出售给克利夫兰艺术博物馆) (? -1979);克利夫兰艺术博物馆, cleveland, oh (1979-)",https://clevelandart.org/art/1979.27.2.18,https://openaccess-cdn.clevelandart.org/1979.27.2.18/1979.27.2.18_web.jpg
1975,陈洪绶（中国，1598/99-1652）.册页；绢本墨彩；总尺寸：30.2 x 26.7 厘米（11 7/8 x 10 1/2 英寸）.克利夫兰艺术博物馆，John L. Severance 基金 1979.27.2.19, 仿古·《执杖持笔高士》,1598–1652,亚洲 - 相册叶,"weng tonghe 翁同龢 [1830-1904], by descent to wango h. c. weng; (wango h. c. weng 翁万戈 [1918-2020], lyme, nh, 出售给克利夫兰艺术博物馆) (? -1979);克利夫兰艺术博物馆, cleveland, oh (1979-)",https://clevelandart.org/art/1979.27.2.19,https://openaccess-cdn.clevelandart.org/1979.27.2.19/1979.27.2.19_web.jpg
1976,陈洪绶（中国，1598/99-1652）绢本册页、墨和彩色；总尺寸：30.2 x 26.7 厘米（11 7/8 x 10 1/2 英寸）。,仿古·《古树图》,1598–1652,亚洲 - 相册叶,"weng tonghe 翁同龢 [1830-1904], by descent to wango h. c. weng; (wango h. c. weng 翁万戈 [1918-2020], lyme, nh, 出售给克利夫兰艺术博物馆) (? -1979);克利夫兰艺术博物馆, cleveland, oh (1979-)",https://clevelandart.org/art/1979.27.2.20,https://openaccess-cdn.clevelandart.org/1979.27.2.20/1979.27.2.20_web.jpg
1977,陈洪绶（中国，1598/99-1652）绢本册页、墨、色；总尺寸：30.2 x 26.7 厘米（11 7/8 x 10 1/2 英寸）。,仿古·《石老竹新》,1598–1652,亚洲 - 相册叶,"weng tonghe 翁同龢 [1830-1904], by descent to wango h. c. weng; (wango h. c. weng 翁万戈 [1918-2020], lyme, nh, 出售给克利夫兰艺术博物馆) (? -1979);克利夫兰艺术博物馆, cleveland, oh (1979-)",https://clevelandart.org/art/1979.27.2.21,https://openaccess-cdn.clevelandart.org/1979.27.2.21/1979.27.2.21_web.jpg
1978,陈洪绶（中国，1598/99-1652）绢本册页、墨和彩色；总尺寸： 30.2 x 26.7 厘米（11.7/8 x 10.5 英寸）。,仿古·书法,1598–1652,亚洲 - 相册叶,"weng tonghe 翁同龢 [1830-1904], by descent to wango h. c. weng; (wango h. c. weng 翁万戈 [1918-2020], lyme, nh, 出售给克利夫兰艺术博物馆) (? -1979);克利夫兰艺术博物馆, cleveland, oh (1979-)",https://clevelandart.org/art/1979.27.2.22,https://openaccess-cdn.clevelandart.org/1979.27.2.22/1979.27.2.22_web.jpg
1979,陈淳（中国，1483-1544 年）.挂轴，纸上水墨；总尺寸：158 x 63.5 厘米（62 3/16 x 25 英寸）.克利夫兰艺术博物馆，John L. Severance 基金 1979.28,《烟峦访寺》,1500–1544,亚洲 - 挂轴,(詹姆斯-J-弗里曼，日本京都，出售给克利夫兰艺术博物馆)(?-1979 年)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州(1979 年-),https://clevelandart.org/art/1979.28,https://openaccess-cdn.clevelandart.org/1979.28/1979.28_web.jpg
1980,梅清（中国，1623-1697 年），挂轴，纸本水墨淡彩；画面：92 x 43.5 厘米（36 1/4 x 17 1/8 英寸）；整体：200.7 x 71.1 厘米（79 x 28 英寸）：92 x 43.5 厘米（36 1/4 x 17 1/8 英寸）；整体：200.7 x 71.1 厘米（79 x 28 英寸）。克利夫兰艺术博物馆，购自 J. H. Wade 基金 1979.50,《九龙池》,1690s,亚洲 - 挂轴,"dai xi 戴煕 [1801-1860]; sakuraki shun'ichi 櫻木俊一 [1900 年代初]; (yabumoto shogoro 藪本莊五郎 [1900 年代], amagasaki, Hyogo, japan, 出售给克利夫兰艺术博物馆) (? -1979); cleveland museum of art, cleveland, oh (1979-).-1979）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（1979-）",https://clevelandart.org/art/1979.50,https://openaccess-cdn.clevelandart.org/1979.50/1979.50_web.jpg
1981,天台山石桥边的雨来亭，1848 年。 戴熙（中国，1801-1860 年）。手卷，纸上水墨；图像：克利夫兰艺术博物馆，Norman O. Stone 和 Ella A. Stone 纪念基金 1979.54,天台山石桥雨来亭,1848,亚洲 - 手卷,WAN-GO H. C. WUNG 翁万戈 [1918-2020]，莱姆，新罕布什尔州，出售给克利夫兰艺术博物馆(?-1979)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州(1979-),https://clevelandart.org/art/1979.54,https://openaccess-cdn.clevelandart.org/1979.54/1979.54_web.jpg
1982,栗树上的松鼠，1300 年代。葛树英（中国，活动于 1300 年代）。挂轴；纸本水墨；绘画：97 x 39.4 厘米（38 3/16 x 15 1/2 英寸）；带钮整体：181.6 x 58 厘米（71 1/2 x 22 13/16 英寸）。,《栗树松鼠图》,1300s,亚洲 - 挂轴,"(S. YABUMOTO CO., LTD., 东京，出售给克利夫兰艺术博物馆) (?-1979)；克利夫兰艺术博物馆，克利夫兰，哦 (1979-)",https://clevelandart.org/art/1979.70,https://openaccess-cdn.clevelandart.org/1979.70/1979.70_web.jpg
1983,手卷；绢本墨彩；图像：32.4 x 201.2 厘米（12.3/4 x 79.3/16 英寸）；整体：33.5 x 893 厘米（13.3/16 x 351.9/16 英寸）。,《兴安重阳雅集》,1743,亚洲 - 手卷,"Ma Yueguan 馬曰琯 [1688-1755] and Ma Yuelu 馬曰璐 [1697-after 1766], yangzhou, jiangsu province, china (1743-after 1766)；chen kuilin 陳夔麟 [1855-after 1915]; (wan-go weng 翁萬戈 [1918-2020], lyme, nh, sold 出售给克利夫兰艺术博物馆) (? -1979);克利夫兰艺术博物馆 (? -1979).-1979）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（1979-）",https://clevelandart.org/art/1979.72,https://openaccess-cdn.clevelandart.org/1979.72/1979.72_web.jpg
1984,中国，西周（约公元前 1046-771 年）。软玉；总长：7.1 厘米（2 13/16 英寸）。克利夫兰艺术博物馆，John L. Severance 基金 1979.74,人像弧形佩,c.公元前 1050-771 年,中国 - 周朝,Charlotte B. Mckim；（纽约州纽约市苏富比帕克-贝内特拍卖行，1979年11月2日，第4296号拍卖会，第44号拍卖品，出售给克利夫兰艺术博物馆）（1979年11月2日）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（1979-）。,https://clevelandart.org/art/1979.74,https://openaccess-cdn.clevelandart.org/1979.74/1979.74_web.jpg
1985,中国，宋代（960-1279）.玉；总长：16 厘米（6.5/16 英寸）.克利夫兰艺术博物馆，Cornelia Blakemore Warner 基金 1979.75,兽面刻纹刃饰,960– 1279,中国 - 宋朝,W. E. CUNNINGHAM; SOTHBY PARKE BERNET,https://clevelandart.org/art/1979.75,https://openaccess-cdn.clevelandart.org/1979.75/1979.75_web.jpg
1986,手卷，纸上墨迹；图像：29.3 x 297.2 厘米（11.9/16 x 117 英寸）。克利夫兰艺术博物馆，约翰-L-塞万斯基金 1979.76,《瑞雪皑皑》,1690,亚洲 - 手卷,[],https://clevelandart.org/art/1979.76,https://openaccess-cdn.clevelandart.org/1979.76/1979.76_web.jpg
1987,董其昌（中国，1555-1636 年）。挂轴，纸上水墨；画作：225 x 67.6 厘米（88 9/16 x 26 5/8 英寸）；整体：355 x 92.7 厘米（139 3/4 x 36 1/2 英寸）。,《青边山图》,1617,亚洲 - 挂轴,"Li enqing 李恩慶 [19 世紀] (1800 年代); (wan-go h. c. weng 翁萬戈 [1918-2020], lyme, nh, 出售给克利夫兰艺术博物馆) (? --1980);克利夫兰艺术博物馆, cleveland, oh (1980-)",https://clevelandart.org/art/1980.10,https://openaccess-cdn.clevelandart.org/1980.10/1980.10_web.jpg
1988,百鸟朝凤图》，1400-1425 年，边文进（中国，约 1354-1428 年）：153.5 x 95.4 厘米（60.7/16 x 37.9/16英寸）；带钮整体：245 x 110 厘米（96.7/16 x 43.5/16英寸）。,《百鸟与岁寒三友》,1400–1425,亚洲 - 挂轴,(Kozo Yabumoto 藪本公三，兵库县尼崎市，出售给克利夫兰艺术博物馆)(?-1980)；克利夫兰艺术博物馆，克利夫兰，哦 (1980-),https://clevelandart.org/art/1980.12,https://openaccess-cdn.clevelandart.org/1980.12/1980.12_web.jpg
1989,梅花与牡丹，1741 年。高凤翰（中国，1683-1749 年）。手卷，纸上墨迹；图像：26 x 96.2 厘米（10 1/4 x 37 7/8 英寸）；整体：28.9 x 534.7 厘米（11 3/8 x 210 1/2 英寸）。克利夫兰艺术博物馆，Andrew R. and Martha Holden Jennings 基金 1980.13,《梅牡丹图》,1741,亚洲 - 手卷,(詹姆斯-J-弗里曼，日本京都，出售给克利夫兰艺术博物馆）(?-1980)；克利夫兰艺术博物馆，克利夫兰，哦 (1980-),https://clevelandart.org/art/1980.13,https://openaccess-cdn.clevelandart.org/1980.13/1980.13_web.jpg
1990,李士達（中國，約 1549 年至 1621 年），《石湖村的元旦》，1609 年。畫冊葉片；紙上墨水和淺色；總體：33.3 x 53 厘米（13 1/8 x 20 7/8 英寸）。,《石湖元日图》,1609,亚洲 - 相册叶,(小林克弘。日本东京，出售给克利夫兰艺术博物馆)(?-1980)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州(1980-),https://clevelandart.org/art/1980.178,https://openaccess-cdn.clevelandart.org/1980.178/1980.178_web.jpg
1991,青铜；总尺寸：6.7 x 7 厘米（2.5/8 x 2.3/4 英寸）。克利夫兰艺术博物馆，购自 J. H. Wade 基金；Leonard C. Hanna Jr. 和 John L. Severance 遗赠；Francis F. Prentiss 和沃斯特-R-沃纳收藏交换 1980.184,翼兽辟邪,400s ce,中国 - 南朝,尤金先生[1896-1982]和埃尔瓦-伯纳特夫人，委托苏富比-帕克-伯内特出售(?-1980)；(苏富比-帕克-伯内特公司，纽约，出售给克利夫兰艺术博物馆)(1980)；克利夫兰艺术博物馆，克利夫兰，哦(1980-),https://clevelandart.org/art/1980.184,https://openaccess-cdn.clevelandart.org/1980.184/1980.184_web.jpg
1992,瓷器，淡蓝白色釉，青白器；直径：4.9 x 10.5 厘米（1 15/16 x 4 1/8 英寸）；总长：4.8 厘米（1 7/8 英寸）；底座：14 厘米（5 1/2 英寸）。克利夫兰艺术博物馆，Laurence H. Norton、Robert G. Norton 和 Miriam Norton White 夫人为纪念 D. Z. Norton 先生和夫人、A. S. Chisholm 夫人、Horace E. Potter 和 John huntington 艺术与理工学院信托基金所赠。,杯托组,1100s,中国 - 宋朝,Eugene Bernat夫妇；（苏富比，1980年11月7日拍卖，第84号拍卖品，通过ESKENAZI有限公司出售给克利夫兰艺术博物馆）（1980年11月7日）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（1980-）。,https://clevelandart.org/art/1980.185,https://openaccess-cdn.clevelandart.org/1980.185/1980.185_web.jpg
1993,瓷器，淡蓝白色釉，青白器；直径：4.9 x 10.5 厘米（1.15/16 x 4.1/8英寸）；整体：4.8 厘米（1.7/8英寸）。克利夫兰艺术博物馆，Laurence H. Norton、Robert G. Norton 和 Miriam Norton White 夫人为纪念 D. Z. Norton 先生和夫人、A. S. Chisholm 夫人、Horace E. Potter 和 John Huntington 艺术与理工学院信托基金交换 1980.185.A 所赠。,杯,1100s,中国 - 宋朝,Eugene Bernat夫妇；（苏富比，1980年11月7日拍卖，第84号拍卖品，通过ESKENAZI有限公司出售给克利夫兰艺术博物馆）（1980年11月7日）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（1980-）。,https://clevelandart.org/art/1980.185.a,https://openaccess-cdn.clevelandart.org/1980.185.a/1980.185.a_web.jpg
1994,釉瓷；直径：14 厘米（5 1/2 英寸）；总长：4 厘米（1 9/16 英寸）。克利夫兰艺术博物馆，Laurence H. Norton、Robert G. Norton 和 Miriam Norton White 夫妇赠，以纪念 D. Z. Norton 夫妇；A. Chishol 夫人。诺顿、罗伯特-G-诺顿和米丽娅姆-诺顿-怀特夫人赠与，以纪念 D. Z. 诺顿先生和夫人；A. S. 齐休姆夫人；霍勒斯-E. 波特；以及约翰-亨廷顿艺术和理工学院信托基金，交换 1980.185.B。,托,1100s,中国 - 宋朝,Eugene Bernat夫妇；（苏富比，1980年11月7日拍卖，第84号拍卖品，通过ESKENAZI有限公司出售给克利夫兰艺术博物馆）（1980年11月7日）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（1980-）。,https://clevelandart.org/art/1980.185.b,https://openaccess-cdn.clevelandart.org/1980.185.b/1980.185.b_web.jpg
1995,中国，江西省，永和镇，元代（1271-1368）。克利夫兰艺术博物馆，J.H.韦德和 J.H.韦德夫妇赠送；1980 年通过交换从 J.H.韦德基金购买。,海水纹梅瓶,1200-1300 年代,中国 - 宋朝,尤金[1896-1982]和埃尔瓦-贝尔纳特，委托苏富比帕克-伯内特拍卖(?-1980)；(苏富比帕克-伯内特，纽约，1980年11月7日拍卖，第119号拍卖品，通过埃斯肯纳兹有限公司出售给克利夫兰艺术博物馆)(1980年11月7日)；克利夫兰艺术博物馆，克利夫兰，哦(1980-),https://clevelandart.org/art/1980.186,https://openaccess-cdn.clevelandart.org/1980.186/1980.186_web.jpg
1996,"""中国，南宋（1127-1279 年）。手卷；绢本墨彩；图像：克利夫兰艺术博物馆，William H. Marlatt 先生和夫人基金 1980.187",《豳风·七月图》,1200s,亚洲 - 手卷,"liang qingbiao 梁清標 [1620-1691] (1600s); (Mrs. ya-yen yu 出售给克利夫兰艺术博物馆) (?-1980);克利夫兰艺术博物馆, cleveland, oh (1980-)",https://clevelandart.org/art/1980.187,https://openaccess-cdn.clevelandart.org/1980.187/1980.187_web.jpg
1997,鎏金青铜；总长：18.5 厘米（7.5/16 英寸）。克利夫兰艺术博物馆，安德鲁-R. 和玛莎-豪登-詹宁斯基金 1980.24,饰具大象,c.1000s,中国 - 辽代,[],https://clevelandart.org/art/1980.24,https://openaccess-cdn.clevelandart.org/1980.24/1980.24_web.jpg
1998,鎏金青铜；总长：19.4 厘米（7.5/8 英寸）；人物：18.1 厘米（7.1/8 英寸）：克利夫兰艺术博物馆，John L. Severance 基金 1980.25,执颅苦行僧像,c.公元前 500 年,中国 - 北朝,尼尔-马尔科姆少将[1869-1953 年]，英国伦敦(1935 年以前)；(斯平克父子有限公司，英国伦敦，出售给克利夫兰艺术博物馆)(?-1980 年)；克利夫兰艺术博物馆，克利夫兰，哦 (1980-),https://clevelandart.org/art/1980.25,https://openaccess-cdn.clevelandart.org/1980.25/1980.25_web.jpg
1999,陈汉文（中国，活跃于约 17 世纪 20 年代至 90 年代），紫砂陶，金颜料，宜兴器；直径：10.8 厘米（4 1/4英寸）；总长：7.5 厘米（2 15/16英寸）；带壶嘴：15 厘米（5 7/8英寸）。,御题山水诗文茶壶,1762–95,中国 - 清朝,"(ms. Charlotte Horstmann, Ltd., Kowloon, Hong Kong, 出售给克利夫兰艺术博物馆) (?-1980);克利夫兰艺术博物馆, Cleveland, Oh (1980-)",https://clevelandart.org/art/1980.27,https://openaccess-cdn.clevelandart.org/1980.27/1980.27_web.jpg
2000,陈汉文（中国，活跃于约 17 世纪 20 年代至 90 年代），石器，金颜料，宜兴器；直径：10.8 厘米（4 1/4 英寸）；带壶嘴：15 厘米（5 7/8 英寸）。,御题山水诗文茶壶,1762–95,中国 - 清朝,"(ms. Charlotte Horstmann, Ltd., Kowloon, Hong Kong, 出售给克利夫兰艺术博物馆) (?-1980);克利夫兰艺术博物馆, Cleveland, Oh (1980-)",https://clevelandart.org/art/1980.27.a,https://openaccess-cdn.clevelandart.org/1980.27.a/1980.27.a_web.jpg
2001,陈汉文（中国，活跃于约 17 世纪 20 年代至 90 年代），石器，金颜料，宜兴 器；克利夫兰艺术博物馆，购自 J. H. Wade 基金 1980.27.B,御题山水诗文茶壶（壶盖）,1762–95,中国 - 清朝,"(ms. Charlotte Horstmann, Ltd., Kowloon, Hong Kong, 出售给克利夫兰艺术博物馆) (?-1980);克利夫兰艺术博物馆, Cleveland, Oh (1980-)",https://clevelandart.org/art/1980.27.b,https://openaccess-cdn.clevelandart.org/1980.27.b/1980.27.b_web.jpg
2002,青铜；整体：1.8 x 1.2 cm (11/16 x 1/2 in.).,辟邪兽钮印,200s ce,中国 - 汉朝,克利夫兰艺术博物馆，克利夫兰，俄亥俄州（1980-）,https://clevelandart.org/art/1980.295,https://openaccess-cdn.clevelandart.org/1980.295/1980.295_web.jpg
2003,瓷碗，1723-35。中国，江西省，景德镇窑，清代（1644-1911），雍正年款（1723-35）。瓷器，釉上珐琅装饰；直径：6.5厘米（2 9/16英寸）；总长：14.7厘米（5 13/16英寸）。,碗,1723–35,中国 - 清朝,ROGERIO LAM，香港，赠送给克利夫兰艺术博物馆(?-1980)；克利夫兰艺术博物馆，克利夫兰，俄亥俄州(1980-),https://clevelandart.org/art/1980.73,https://openaccess-cdn.clevelandart.org/1980.73/1980.73_web.jpg
2004,中国，南宋（1127-1279 年）。木质，有石膏、多彩和镀金痕迹；总尺寸：162.9 x 55.9 厘米（64 1/8 x 22 英寸）。克利夫兰艺术博物馆，John L. Severance 基金 1980.80,立观音,1127–1279,中国 - 宋朝,[],https://clevelandart.org/art/1980.80,https://openaccess-cdn.clevelandart.org/1980.80/1980.80_web.jpg
