object_id,title,link,image,object_type,current_location,culture,provenience,creator,date_made,section,materials,technique,description,length,width,credit_line
29-127-2593,Coin,https://www.penn.museum/collections/object/286648,https://www.penn.museum/collections/assets/300/353384.jpg,,Collections Storage,Chinese,China,,Emperor Xiaozong,Asian,,,Obv. 淳熙元寶 Chun Xi Yuan Bao (clockwise). Regular script (1174 - 1189 CE). Rev.十二 Shi Er ( 12 = 1185 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2610,Coin,https://www.penn.museum/collections/object/282279,https://www.penn.museum/collections/assets/300/353515.jpg,,Collections Storage,Chinese,China,,Emperor Guangzong,Asian,,,Obv. 紹興元寶 Shao Xi Yuan Bao (clockwise). Regular script (1190 - 1194 CE). Rev. 三 San ( 3 = 1192 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2609,Coin,https://www.penn.museum/collections/object/282278,https://www.penn.museum/collections/assets/300/353510.jpg,,Collections Storage,Chinese,China,,Emperor Guangzong,Asian,,,Obv. 紹興元寶 Shao Xi Yuan Bao (clockwise). Regular script (1190 - 1194 CE). Rev. 二 Er ( 2 = 1191 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2604,Coin,https://www.penn.museum/collections/object/313780,https://www.penn.museum/collections/assets/300/353484.jpg,,Collections Storage,Chinese,China,,Emperor Guangzong,Asian,,,Obv. 紹興元寶 Shao Xi Yuan Bao (clockwise). Regular script (1190 - 1194 CE). Rev. 二 Er ( 2 = 1191 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2594,Coin,https://www.penn.museum/collections/object/313779,https://www.penn.museum/collections/assets/300/353389.jpg,,Collections Storage,Chinese,China,,Emperor Xiaozong,Asian,,,Obv. 淳熙元寶 Chun Xi Yuan Bao (clockwise). Regular script (1174 - 1189 CE). Rev.十三 Shi San ( 13 = 1186 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2580,Coin,https://www.penn.museum/collections/object/239146,https://www.penn.museum/collections/assets/300/353214.jpg,,Collections Storage,Chinese,China,,Emperor Xiaozong,Asian,,,Obv. 淳熙元寶 Chun Xi Yuan Bao (clockwise). Regular script (1174 - 1189 CE). Rev.十三 Shi San ( 13 = 1186 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2579,Coin,https://www.penn.museum/collections/object/239145,https://www.penn.museum/collections/assets/300/353209.jpg,,Collections Storage,Chinese,China,,Emperor Xiaozong,Asian,,,Obv. 淳熙元寶 Chun Xi Yuan Bao (clockwise). Regular script (1174 - 1189 CE). Rev.十 Shi ( 10 = 1183 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2611,Coin,https://www.penn.museum/collections/object/236860,https://www.penn.museum/collections/assets/300/353519.jpg,,Collections Storage,Chinese,China,,Emperor Guangzong,Asian,,,Obv. 紹興元寶 Shao Xi Yuan Bao (clockwise). Regular script (1190 - 1194 CE). Rev. 四 Si ( 4 = 1193 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2584,Coin,https://www.penn.museum/collections/object/54037,https://www.penn.museum/collections/assets/300/353234.jpg,,Collections Storage,Chinese,China,,Emperor Xiaozong,Asian,,,Obv. 淳熙元寶 Chun Xi Yuan Bao (clockwise). Regular script (1174 - 1189 CE). Rev.十六 Shi Liu ( 16 = 1189 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3261,Coin,https://www.penn.museum/collections/object/25381,https://www.penn.museum/collections/assets/300/357255.jpg,,Collections Storage,Chinese,China,,Emperor Xuanzong,Asian,Bronze,,Obv. 道光通寶 Dao Guang Tong Bao. Rev. Boo yun left and right. Mint: Yunnan province. The Board of Revenue type. 1821 - 1841 CE.,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2582,Coin,https://www.penn.museum/collections/object/13816,https://www.penn.museum/collections/assets/300/353224.jpg,,Collections Storage,Chinese,China,,Emperor Xiaozong,Asian,,,Obv. 淳熙元寶 Chun Xi Yuan Bao (clockwise). Regular script (1174 - 1189 CE). Rev.十四 Shi Si ( 14 = 1187 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3297,Coin,https://www.penn.museum/collections/object/65026,https://www.penn.museum/collections/assets/300/357599.jpg,,Collections Storage,Chinese,China,,Emperor Wenzong,Asian,Bronze,,"Obv. 咸豐通寶 Xian Feng Tong Bao. Rev. Boo chuwan left and right. Mint: Chengdu, Sichuan. The Board of Revenue type. 1855 - 1861 CE.",,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2618,Coin,https://www.penn.museum/collections/object/64329,https://www.penn.museum/collections/assets/300/353552.jpg,,Collections Storage,Chinese,China,,Emperor Ningzong,Asian,,,Obv. 慶元通寶 Qing Yuan Tong Bao (clockwise). Regular script (1195 - 1200 CE). Rev. 三 San ( 3 = 1197 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3410,Coin,https://www.penn.museum/collections/object/62102,https://www.penn.museum/collections/assets/300/358361.jpg,,Collections Storage,Chinese,China,,Emperor Muzong,Asian,Bronze,,Obv. 同治重寶 Tong Zhi Zhong Bao. Rev. Boo chiowan left and right. 當十 Dang Shi (Value Ten) above and below. Mint: The Board of Revenue.,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3321,Coin,https://www.penn.museum/collections/object/50130,https://www.penn.museum/collections/assets/300/357737.jpg,,Collections Storage,Chinese,China,,Emperor Wenzong,Asian,Bronze,,"Obv. 咸豐通寶 Xian Feng Tong Bao. Rev. Boo dung left and right. Mint: Dongchuan, Yunnan province. The Board of Revenue type. 1853 - 1861 CE.",,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3219A,Coin,https://www.penn.museum/collections/object/40875,https://www.penn.museum/collections/assets/300/356799.jpg,,Collections Storage,Chinese,China,,Emperor Renzong,Asian,Bronze,,Obv. 嘉慶通寶 Jia Qing Tong Bao. Rev. Boo yuwan left and right. Dot below. Mint: The Board of Works. 1816 - 1820 CE.,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3023,Coin,https://www.penn.museum/collections/object/39497,https://www.penn.museum/collections/assets/300/355432.jpg,,Collections Storage,Chinese,China,,Emperor Shizu,Asian,Bronze,,"Obv. 順治通寶 Shun Zhi Tong Bao. Rev. Boo chiowan left and right. For 寶泉 Bao Quan, the Board of Revenue mint. 1657 - 1661 CE.",,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3012,Coin,https://www.penn.museum/collections/object/37967,https://www.penn.museum/collections/assets/300/355384.jpg,,Collections Storage,Chinese,China,,Emperor Shizu,Asian,Bronze,,"Obv. 順治通寶 Shun Zhi Tong Bao. Rev. Guyang left, 江 Jiang right. Mint: Nanchang, Jiangxi. 1660 - 1661 CE. Mint name in Manchu and Chinese.",,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2583,Coin,https://www.penn.museum/collections/object/36869,https://www.penn.museum/collections/assets/300/353229.jpg,,Collections Storage,Chinese,China,,Emperor Xiaozong,Asian,,,Obv. 淳熙元寶 Chun Xi Yuan Bao (clockwise). Regular script (1174 - 1189 CE). Rev.十五 Shi Wu ( 15 = 1188 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3650,Coin,https://www.penn.museum/collections/object/496907,https://www.penn.museum/collections/assets/300/367049.jpg,,Collections Storage,Chinese,China,,Emperor Wenzong,Asian,Copper,,"Obv. 咸豐通寶 Xian Feng Tong Bao. Rev. Boo fu left and right. 五十 Wu shi (Fifty [cash]). Mint: Fuzhou, Fujian. 1853 - 1855 CE.",,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3648,Coin,https://www.penn.museum/collections/object/496905,https://www.penn.museum/collections/assets/300/367041.jpg,,Collections Storage,Chinese,China,,Emperor Wenzong,Asian,Copper,,"Obv. 咸豐重寶 Xian Feng Zhong Bao. Rev. Boo fu left and right. 五十 Wu shi (Fifty [cash]). Mint: Fuzhou, Fujian. 1853 - 1855 CE.",,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2623,Coin,https://www.penn.museum/collections/object/256064,https://www.penn.museum/collections/assets/300/353577.jpg,,Collections Storage,Chinese,China,,Emperor Ningzong,Asian,,,Obv. 慶元通寶 Qing Yuan Tong Bao (clockwise). Regular script (1195 - 1200 CE).  Rev. 五 Wu ( 5 = 1199 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2616,Coin,https://www.penn.museum/collections/object/251319,https://www.penn.museum/collections/assets/300/353543.jpg,,Collections Storage,Chinese,China,,Emperor Ningzong,Asian,,,Obv. 慶元通寶 Qing Yuan Tong Bao (clockwise). Regular script (1195 - 1200 CE). Rev. 元 Yuan ( 1st = 1195 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2581,Coin,https://www.penn.museum/collections/object/248140,https://www.penn.museum/collections/assets/300/353220.jpg,,Collections Storage,Chinese,China,,Emperor Xiaozong,Asian,,,Obv. 淳熙元寶 Chun Xi Yuan Bao (clockwise). Regular script (1174 - 1189 CE). Rev.十二 Shi Er ( 12 = 1185 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3022,Coin,https://www.penn.museum/collections/object/240563,https://www.penn.museum/collections/assets/300/355428.jpg,,Collections Storage,Chinese,China,,Emperor Shizu,Asian,Bronze,,"Obv. 順治通寶 Shun Zhi Tong Bao. Rev. Boo chiowan left and right. For 寶源 Bao Yuan, the Board of Works mint. 1657 - 1661 CE.",,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3078,Coin,https://www.penn.museum/collections/object/167396,https://www.penn.museum/collections/assets/300/355855.jpg,,Collections Storage,Chinese,China,,Emperor Shengzu,Asian,Bronze,,"Obv. 康熙通寶 Kang Xi Tong Bao. Rev. Nan left, 南 Nan right. Crescent above, dot below. Mint: Changsha, Hunan province. 1684 - 1700 CE.",,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2514,Coin,https://www.penn.museum/collections/object/162890,https://www.penn.museum/collections/assets/300/352588.jpg,,Collections Storage,Chinese,China,,Emperor Zhezong,Asian,,,Obv. 紹聖元寶 Shao Sheng Yuan Bao (clockwise). Running script (1094 - 1097 CE). Rev. 正 Zheng. Unusual to have character on the reverse.,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3053,Coin,https://www.penn.museum/collections/object/161243,https://www.penn.museum/collections/assets/300/355583.jpg,,Collections Storage,Chinese,China,,Zhu Youlang (Prince of Gui),Asian,Bronze,,Obv. 永曆通寶 Yong Li Tong Bao. Rev. Plain. Prince Yongming. Prince of Gui (桂王). Yongli Emperor. 1646 - 1659 CE.,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2620,Coin,https://www.penn.museum/collections/object/149014,https://www.penn.museum/collections/assets/300/353562.jpg,,Collections Storage,Chinese,China,,Emperor Ningzong,Asian,,,Obv. 慶元通寶 Qing Yuan Tong Bao (clockwise). Regular script (1195 - 1200 CE).  Rev. 五 Wu ( 5 = 1199 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2576,Coin,https://www.penn.museum/collections/object/148888,https://www.penn.museum/collections/assets/300/353189.jpg,,Collections Storage,Chinese,China,,Emperor Xiaozong,Asian,,,Obv. 淳熙元寶 Chun Xi Yuan Bao (clockwise). Regular script (1174 - 1189 CE). Rev. 捌 Ba ( 8 = 1181 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2607,Coin,https://www.penn.museum/collections/object/147594,https://www.penn.museum/collections/assets/300/353499.jpg,,Collections Storage,Chinese,China,,Emperor Guangzong,Asian,,,Obv. 紹興元寶 Shao Xi Yuan Bao (clockwise). Regular script (1190 - 1194 CE). Rev. 五 Wu ( 5 = 1194 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2597,Coin,https://www.penn.museum/collections/object/147593,https://www.penn.museum/collections/assets/300/353405.jpg,,Collections Storage,Chinese,China,,Emperor Xiaozong,Asian,,,Obv. 淳熙元寶 Chun Xi Yuan Bao (clockwise). Regular script (1174 - 1189 CE). Rev.十六 Shi Liu ( 16 = 1189 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3397,Coin,https://www.penn.museum/collections/object/270607,https://www.penn.museum/collections/assets/300/358294.jpg,,Collections Storage,Chinese,China,,Emperor Muzong,Asian,Bronze,,Obv. 同治重寶 Tong Zhi Zhong Bao. Rev. Boo chiowan left and right. 當十 Dang Shi (Value Ten) above and below. Mint: The Board of Revenue.,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3426,Coin,https://www.penn.museum/collections/object/211581,https://www.penn.museum/collections/assets/300/358444.jpg,,Collections Storage,Chinese,China,,Emperor Muzong,Asian,Bronze,,Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo joo left and right. 9 in commercial style above (?). Mint: Unknown.Unusual character above on reverse.,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2608,Coin,https://www.penn.museum/collections/object/207428,https://www.penn.museum/collections/assets/300/353504.jpg,,Collections Storage,Chinese,China,,Emperor Guangzong,Asian,,,Obv. 紹興元寶 Shao Xi Yuan Bao (clockwise). Regular script (1190 - 1194 CE). Rev. 元 Yuan ( 1st = 1190 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3039,Coin,https://www.penn.museum/collections/object/198116,https://www.penn.museum/collections/assets/300/355519.jpg,,Collections Storage,Chinese,China,,Emperor Shizu,Asian,Bronze,,"Obv. 順治通寶 Shun Zhi Tong Bao. Rev. 一厘 Yi li (One li [of silver]) left. 浙 Zhe right. Mint: Hangzhou, Zhejiang. 1653 - 1657 CE.",,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2578,Coin,https://www.penn.museum/collections/object/190439,https://www.penn.museum/collections/assets/300/353204.jpg,,Collections Storage,Chinese,China,,Emperor Xiaozong,Asian,,,Obv. 淳熙元寶 Chun Xi Yuan Bao (clockwise). Regular script (1174 - 1189 CE). Rev.十 Shi ( 10 = 1183 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3295,Coin,https://www.penn.museum/collections/object/189423,https://www.penn.museum/collections/assets/300/357483.jpg,,Collections Storage,Chinese,China,,Emperor Xuanzong,Asian,Bronze,,"Obv. 道光通寶 Dao Guang Tong Bao. Rev. Boo u left and right. Mint: Wuchang, Hubei. 1821 - 1823 CE or 1826 - 1836 CE.",,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3001,Coin,https://www.penn.museum/collections/object/189135,https://www.penn.museum/collections/assets/300/355330.jpg,,Collections Storage,Chinese,China,,Emperor Shizu,Asian,Bronze,,"Obv. 順治通寶 Shun Zhi Tong Bao. Rev. 一厘 Yi li (One li [of silver]) left. 東 Dong right. Mint: Jinan, Shandong. 1653 - 1657 CE.",,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2622,Coin,https://www.penn.museum/collections/object/185070,https://www.penn.museum/collections/assets/300/353572.jpg,,Collections Storage,Chinese,China,,Emperor Ningzong,Asian,,,Obv. 慶元通寶 Qing Yuan Tong Bao (clockwise). Regular script (1195 - 1200 CE). Rev. 四 Si ( 4 = 1198 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3325,Coin,https://www.penn.museum/collections/object/183311,https://www.penn.museum/collections/assets/300/357756.jpg,,Collections Storage,Chinese,China,,Emperor Wenzong,Asian,Bronze,,"Obv. 咸豐通寶 Xian Feng Tong Bao. Rev. Boo kiyan left and right, 9 (commercial style) above. Mint: Guiying or Dading, Guizhou. 1850s CE.",,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3007,Coin,https://www.penn.museum/collections/object/182129,https://www.penn.museum/collections/assets/300/355358.jpg,,Collections Storage,Chinese,China,,Emperor Shizu,Asian,Bronze,,"Obv. 順治通寶 Shun Zhi Tong Bao. Rev. 一厘 Yi li (One li [of silver]) left. 昌 Chang right. Mint: Wuchang, Hubei. 1653 - 1657 CE.",,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2897,Coin,https://www.penn.museum/collections/object/182128,https://www.penn.museum/collections/assets/300/355312.jpg,,Collections Storage,Chinese,China,,Emperor Shizu,Asian,Bronze,,"Obv. 順治通寶 Shun Zhi Tong Bao. Rev. 一厘 Yi li (One li [of silver]) left. 河 He right. Mint: Kaifeng, Henan. 1653 - 1657 CE.",,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2602,Coin,https://www.penn.museum/collections/object/179550,https://www.penn.museum/collections/assets/300/353475.jpg,,Collections Storage,Chinese,China,,Emperor Guangzong,Asian,,,Obv. 紹興元寶 Shao Xi Yuan Bao (clockwise). Regular script (1190 - 1194 CE). Rev. 四 Si ( 4 = 1193 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2592,Coin,https://www.penn.museum/collections/object/179549,https://www.penn.museum/collections/assets/300/353379.jpg,,Collections Storage,Chinese,China,,Emperor Xiaozong,Asian,,,Obv. 淳熙元寶 Chun Xi Yuan Bao (clockwise). Regular script (1174 - 1189 CE). Rev.十一 Shi Yi ( 11 = 1184 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3275,Coin,https://www.penn.museum/collections/object/177970,https://www.penn.museum/collections/assets/300/357367.jpg,,Collections Storage,Chinese,China,,Emperor Xuanzong,Asian,Bronze,,"Obv. 道光通寶 Dao Guang Tong Bao. Rev. Boo jyi left and right. Mint: Baoding, Zhili. The Board of Revenue type. 1821 - 1823 CE.",,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3055,Coin,https://www.penn.museum/collections/object/107036,https://www.penn.museum/collections/assets/300/355593.jpg,,Collections Storage,Chinese,China,,Zhu Youlang (Prince of Gui),Asian,Bronze,,Obv. 永曆通寶 Yong Li Tong Bao. Rev. Plain. Prince Yongming. Prince of Gui (桂王). Yongli Emperor. 1646 - 1659 CE.,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2591,Coin,https://www.penn.museum/collections/object/97510,https://www.penn.museum/collections/assets/300/353374.jpg,,Collections Storage,Chinese,China,,Emperor Xiaozong,Asian,,,Obv. 淳熙元寶 Chun Xi Yuan Bao (clockwise). Regular script (1174 - 1189 CE). Rev.十 Shi ( 10 = 1183 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2612,Coin,https://www.penn.museum/collections/object/96539,https://www.penn.museum/collections/assets/300/353523.jpg,,Collections Storage,Chinese,China,,Emperor Guangzong,Asian,,,Obv. 紹興元寶 Shao Xi Yuan Bao (clockwise). Regular script (1190 - 1194 CE). Rev. 五 Wu ( 5 = 1194 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3038,Coin,https://www.penn.museum/collections/object/136615,https://www.penn.museum/collections/assets/300/355515.jpg,,Collections Storage,Chinese,China,,Emperor Shizu,Asian,Bronze,,"Obv. 順治通寶 Shun Zhi Tong Bao. Rev. 一厘 Yi li (One li [of silver]) left. 東 Dong right. Mint: Jinan, Shandong. 1653 - 1657 CE.",,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3177,Coin,https://www.penn.museum/collections/object/135837,https://www.penn.museum/collections/assets/300/356568.jpg,,Collections Storage,Chinese,China,,Emperor Gaozong,Asian,Bronze,,"Obv. 乾隆通寶 Qian Long Tong Bao. Rev. Boo jin left and right. Mint: Taiyuan, Shanxi. Board of Revenue, Type A. 1736 - 1740 CE.",,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2588,Coin,https://www.penn.museum/collections/object/135000,https://www.penn.museum/collections/assets/300/353252.jpg,,Collections Storage,Chinese,China,,Emperor Xiaozong,Asian,,,Obv. 淳熙元寶 Chun Xi Yuan Bao (clockwise). Regular script (1174 - 1189 CE). Rev. 柒 Qi ( 7 = 1180 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3281,Coin,https://www.penn.museum/collections/object/95415,https://www.penn.museum/collections/assets/300/357402.jpg,,Collections Storage,Chinese,China,,Emperor Wenzong,Asian,Bronze,,"Obv. 咸豐通寶 Xian Feng Tong Bao. Rev. Boo je left and right. Mint: Hangzhou, Zhejiang. The Board of Revenue type. 1851 - 1853 CE.",,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3246,Coin,https://www.penn.museum/collections/object/95322,https://www.penn.museum/collections/assets/300/357178.jpg,,Collections Storage,Chinese,China,,Emperor Xuanzong,Asian,Bronze,,Obv. 道光通寶 Dao Guang Tong Bao. Rev. Boo shan left and right. Mint: Xi'an Shaanxi. The Board of Revenue type. 1821 - 1822 CE.,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3395,Coin,https://www.penn.museum/collections/object/92582,https://www.penn.museum/collections/assets/300/358283.jpg,,Collections Storage,Chinese,China,,Emperor Muzong,Asian,Bronze,,Obv. 同治重寶 Tong Zhi Zhong Bao. Rev. Boo yuwan left and right. 當十 Dang Shi (Value Ten) above and below. Mint: The Board of Works.,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2590,Coin,https://www.penn.museum/collections/object/77560,https://www.penn.museum/collections/assets/300/353369.jpg,,Collections Storage,Chinese,China,,Emperor Xiaozong,Asian,,,Obv. 淳熙元寶 Chun Xi Yuan Bao (clockwise). Regular script (1174 - 1189 CE). Rev. 九 Jiu ( 9 = 1182 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-2589,Coin,https://www.penn.museum/collections/object/77559,https://www.penn.museum/collections/assets/300/353364.jpg,,Collections Storage,Chinese,China,,Emperor Xiaozong,Asian,,,Obv. 淳熙元寶 Chun Xi Yuan Bao (clockwise). Regular script (1174 - 1189 CE). Rev. 捌 Ba ( 8 = 1181 CE ).,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-1663,Charm,https://www.penn.museum/collections/object/9195,https://www.penn.museum/collections/assets/300/345697.jpg,,Collections Storage,Buddhist | Chinese,China,,1874,Asian,Bronze,,"Obv. 唵嘛弥叭呢吽 An Ma Mi Ba Ne Hong (Om mani padme hum).  Rev. 歌咒 Ge Zhou (Chant). Buddhist prayer, often seen as om mani padme hum.",,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3003,Coin,https://www.penn.museum/collections/object/8965,https://www.penn.museum/collections/assets/300/355338.jpg,,Collections Storage,Chinese,China,,Emperor Shizu,Asian,Bronze,,Obv. 順治通寶 Shun Zhi Tong Bao. Rev. 一厘 Yi li (One li [of silver]) left. 寧 Ning right. Mint: Jiangning (Nanjing). 1653 - 1657 CE.,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3411,Coin,https://www.penn.museum/collections/object/2699,https://www.penn.museum/collections/assets/300/358366.jpg,,Collections Storage,Chinese,China,,Emperor Muzong,Asian,Bronze,,"Obv. 同治通寶 Tong Zhi Tong Bao. Rev. Boo yun left and right. 9 in commercial style above, 六 Liu (six) below. Mint: Yunnan province.",,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3359,Coin,https://www.penn.museum/collections/object/290637,https://www.penn.museum/collections/assets/300/358080.jpg,,Collections Storage,Chinese,China,,Emperor Wenzong,Asian,Bronze,,"Obv. 咸豐重寶 Xian Feng Zhong Bao. Rev. Boo fu left and right. 二十 Er Shi (Twenty [cash]). Mint: Fuzhou, Fujian. 1853 - 1855 CE.",,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3691,Knife Money,https://www.penn.museum/collections/object/496948,https://www.penn.museum/collections/assets/300/438634.jpg,,Collections Storage,Chinese,China,,400 - 220 BCE,Asian,Bronze,,Obv. 節墨(末邑)之法化 Ji Mo Zhi Fa Hua (Jimo's Legal Money). Rev. 三十星. State of Qi knife.,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
64-8-21,Statuette,https://www.penn.museum/collections/object/257561,https://www.penn.museum/collections/assets/300/700432.jpg,,Collections Storage,Chinese,China,,Kangxi,Asian,Ceramic,,Porcelain female figure wearing long floral design tunic and holding vase. One of her braids is broken as is thumb on hand holding vase. Some damage in chest area. Part of set of 7,,8 cm,"Gift of Mrs. Samuel Rotan, 1964"
93-24-6,Thangka,https://www.penn.museum/collections/object/13074,https://www.penn.museum/collections/assets/300/208376.jpg,,Collections Storage,Buddhist,China,,Early 19th Century,Asian,Silk | Canvas,,White twelve-armed Manjusri surrounded by designs including temples and flowers. Green brocade silk and yellow border around scene. Orange cover with red ribbons. Thangka supported by a wooden rod.,,,"Gift of Dr. and Mrs. Richard L. Miller, 1993"
29-127-3341B,Coin,https://www.penn.museum/collections/object/338301,https://www.penn.museum/collections/assets/300/357850.jpg,,Collections Storage,Chinese,China,,Emperor Wenzong,Asian,Bronze,,Obv. 咸豐通寶 Xian Feng Tong Bao. Rev. Boo yun left and right. 四 Si (4) in commercial style above. Mint: Yunnan province. 1854 - 1861 CE.,,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3566,Spade Coin,https://www.penn.museum/collections/object/324778,https://www.penn.museum/collections/assets/300/438311.jpg,,Collections Storage,Chinese,China,,350 - 250 BCE,Asian,Bronze,,"Flat handled, square-foot spade coin. Obv. 長(长)子 Chang Zi. Rev. Plain. State:  Zhao 趙 or Han 韓. Location: 在今山西長子縣境.",,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
29-127-3134,Coin,https://www.penn.museum/collections/object/323167,https://www.penn.museum/collections/assets/300/356345.jpg,,Collections Storage,Chinese,China,,Emperor Gaozong,Asian,Bronze,,"Obv. 乾隆通寶 Qian Long Tong Bao. Rev. Boo yuwan left and right. Mint: The Board of Works. 1736 - 1739 CE. Well made coin, large Manchu script.",,,"Purchased from Rev. Edward W. Thwing; subscription of Robert C. H. Brock, 1902"
